REF_DATA_CODE,REF_DATA_TYPE,REF_DATA_DESC,REF_DATA_DESCDETAIL
CTY-EXPENSE001,CTY-EXPENSE,"Entertainment	",
CTY-EXPENSE002,CTY-EXPENSE,"Food and drink	",
CTY-EXPENSE003,CTY-EXPENSE,"Home	",
CTY-EXPENSE004,CTY-EXPENSE,"Life	",
CTY-EXPENSE005,CTY-EXPENSE,"Transportation	",
CTY-EXPENSE006,CTY-EXPENSE,"Uncategorized	",
CTY-EXPENSE007,CTY-EXPENSE,"Utilities	",
CTY-EXPENSE-ENTR001,CTY-EXPENSE001,Games,Entertainment - Games
CTY-EXPENSE-ENTR002,CTY-EXPENSE001,Movies,Entertainment - Movies
CTY-EXPENSE-ENTR003,CTY-EXPENSE001,Music,Entertainment - Music
CTY-EXPENSE-ENTR004,CTY-EXPENSE001,Other,Entertainment - Other
CTY-EXPENSE-ENTR005,CTY-EXPENSE001,Sports,Entertainment - Sports
CTY-EXPENSE-FOOD001,CTY-EXPENSE002,Dining out,Food and drink - Dining out
CTY-EXPENSE-FOOD002,CTY-EXPENSE002,Groceries,Food and drink - Groceries
CTY-EXPENSE-FOOD003,CTY-EXPENSE002,Liquor,Food and drink - Liquor
CTY-EXPENSE-FOOD004,CTY-EXPENSE002,Other,Food and drink - Other
CTY-EXPENSE-HOME001,CTY-EXPENSE003,Electronics,Home - Electronics
CTY-EXPENSE-HOME002,CTY-EXPENSE003,Furniture,Home - Furniture
CTY-EXPENSE-HOME003,CTY-EXPENSE003,Household supplies,Home - Household supplies
CTY-EXPENSE-HOME004,CTY-EXPENSE003,Maintenance,Home - Maintenance
CTY-EXPENSE-HOME005,CTY-EXPENSE003,Mortgage,Home - Mortgage
CTY-EXPENSE-HOME006,CTY-EXPENSE003,Other,Home - Other
CTY-EXPENSE-HOME007,CTY-EXPENSE003,Pets,Home - Pets
CTY-EXPENSE-HOME008,CTY-EXPENSE003,Rent,Home - Rent
CTY-EXPENSE-HOME009,CTY-EXPENSE003,Services,Home - Services
CTY-EXPENSE-LIFE001,CTY-EXPENSE004,Childcare,Life - Childcare
CTY-EXPENSE-LIFE002,CTY-EXPENSE004,Clothing,Life - Clothing
CTY-EXPENSE-LIFE003,CTY-EXPENSE004,Education,Life - Education
CTY-EXPENSE-LIFE004,CTY-EXPENSE004,Gifts,Life - Gifts
CTY-EXPENSE-LIFE005,CTY-EXPENSE004,Insurance,Life - Insurance
CTY-EXPENSE-LIFE006,CTY-EXPENSE004,Medical expenses,Life - Medical expenses
CTY-EXPENSE-LIFE007,CTY-EXPENSE004,Other,Life - Other
CTY-EXPENSE-LIFE008,CTY-EXPENSE004,Taxes,Life - Taxes
CTY-EXPENSE-TRAN001,CTY-EXPENSE005,Bicycle,Transportation - Bicycle
CTY-EXPENSE-TRAN002,CTY-EXPENSE005,Bus/train,Transportation - Bus/train
CTY-EXPENSE-TRAN003,CTY-EXPENSE005,Car,Transportation - Car
CTY-EXPENSE-TRAN004,CTY-EXPENSE005,Gas/fuel,Transportation - Gas/fuel
CTY-EXPENSE-TRAN005,CTY-EXPENSE005,Hotel,Transportation - Hotel
CTY-EXPENSE-TRAN006,CTY-EXPENSE005,Other,Transportation - Other
CTY-EXPENSE-TRAN007,CTY-EXPENSE005,Parking,Transportation - Parking
CTY-EXPENSE-TRAN008,CTY-EXPENSE005,Plane,Transportation - Plane
CTY-EXPENSE-TRAN009,CTY-EXPENSE005,Taxi,Transportation - Taxi
CTY-EXPENSE-UNCT001,CTY-EXPENSE006,General,Uncategorized - General
CTY-EXPENSE-UTIL001,CTY-EXPENSE007,Cleaning,Utilities - Cleaning
CTY-EXPENSE-UTIL002,CTY-EXPENSE007,Electricity,Utilities - Electricity
CTY-EXPENSE-UTIL003,CTY-EXPENSE007,Heat/gas,Utilities - Heat/gas
CTY-EXPENSE-UTIL004,CTY-EXPENSE007,Other,Utilities - Other
CTY-EXPENSE-UTIL005,CTY-EXPENSE007,Trash,Utilities - Trash
CTY-EXPENSE-UTIL006,CTY-EXPENSE007,TV/Phone/Internet,Utilities - TV/Phone/Internet
CTY-EXPENSE-UTIL007,CTY-EXPENSE007,Water,Utilities - Water
